"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"S100A11",3,"GSE227651, GSE244576, GSE250597",0.89,1.098,0,"Tier1_3+datasets"
"SPP1",2,"GSE227651, GSE244576",3.44,3.63,0,"Tier2_2datasets"
"TYROBP",2,"GSE244576, GSE310324",2.478,4.183,0.002956,"Tier2_2datasets"
"COL5A3",2,"GSE244576, GSE250597",2.457,4.216,0,"Tier2_2datasets"
"GM26917",2,"GSE244576, GSE250597",1.583,2.359,0,"Tier2_2datasets"
"LGALS1",2,"GSE244576, GSE250597",1.54,2.161,0,"Tier2_2datasets"
"OSMR",2,"GSE227651, GSE244576",1.378,1.879,0,"Tier2_2datasets"
"VIM",2,"GSE244576, GSE250597",1.301,1.514,0,"Tier2_2datasets"
"PLAT",2,"GSE227651, GSE244576",1.032,1.518,0,"Tier2_2datasets"
"TIMP3",2,"GSE227651, GSE244576",0.8,1.046,0,"Tier2_2datasets"
"TNC",1,"GSE244576",10.107,10.107,0,"Tier3_1dataset"
"HMGA2",1,"GSE244576",9.145,9.145,0,"Tier3_1dataset"
"SERPINE1",1,"GSE244576",8.534,8.534,0,"Tier3_1dataset"
"8030451A03RIK",1,"GSE244576",8.388,8.388,0,"Tier3_1dataset"
"CXCL1",1,"GSE244576",8.102,8.102,0,"Tier3_1dataset"
"CD44",1,"GSE244576",7.672,7.672,0,"Tier3_1dataset"
"IL6",1,"GSE244576",7.586,7.586,9e-06,"Tier3_1dataset"
"LCN2",1,"GSE244576",7.3,7.3,0,"Tier3_1dataset"
"SERPINA3N",1,"GSE244576",7.17,7.17,0,"Tier3_1dataset"
"SOCS3",1,"GSE244576",7.137,7.137,0,"Tier3_1dataset"
"LRG1",1,"GSE244576",7.101,7.101,2e-06,"Tier3_1dataset"
"SPHK1",1,"GSE244576",6.779,6.779,1.6e-05,"Tier3_1dataset"
"ELF4",1,"GSE244576",6.75,6.75,1e-06,"Tier3_1dataset"
"TIMP1",1,"GSE244576",6.714,6.714,1e-06,"Tier3_1dataset"
"PABPC1L",1,"GSE244576",6.708,6.708,5e-06,"Tier3_1dataset"
"JAML",1,"GSE244576",6.618,6.618,0.000135,"Tier3_1dataset"
"ZWILCH",1,"GSE244576",6.371,6.371,0.004818,"Tier3_1dataset"
"IL11",1,"GSE244576",6.262,6.262,0,"Tier3_1dataset"
"MMS22L",1,"GSE244576",6.244,6.244,0.001101,"Tier3_1dataset"
"ITGA5",1,"GSE244576",5.779,5.779,0,"Tier3_1dataset"
"ZC3H12A",1,"GSE244576",5.48,5.48,0.000483,"Tier3_1dataset"
"POLN",1,"GSE244576",5.347,5.347,1e-06,"Tier3_1dataset"
"TEAD3",1,"GSE244576",5.186,5.186,8e-06,"Tier3_1dataset"
"NGF",1,"GSE244576",5.157,5.157,0,"Tier3_1dataset"
"SH2D4B",1,"GSE244576",5.071,5.071,0.015256,"Tier3_1dataset"
"GLIPR2",1,"GSE244576",5.054,5.054,0.011181,"Tier3_1dataset"
"PLAUR",1,"GSE244576",4.822,4.822,0,"Tier3_1dataset"
"CH25H",1,"GSE244576",4.793,4.793,0.018382,"Tier3_1dataset"
"HHIPL1",1,"GSE244576",4.459,4.459,0.006758,"Tier3_1dataset"
"BMP1",1,"GSE244576",4.43,4.43,0,"Tier3_1dataset"
"ADAMTS12",1,"GSE244576",4.39,4.39,0,"Tier3_1dataset"
"CAPG",1,"GSE244576",4.378,4.378,0.000161,"Tier3_1dataset"
"ITGB3",1,"GSE244576",4.351,4.351,0.000763,"Tier3_1dataset"
"PIEZO2",1,"GSE244576",4.304,4.304,0,"Tier3_1dataset"
"SLC39A14",1,"GSE244576",4.227,4.227,0,"Tier3_1dataset"
"RUNX1",1,"GSE244576",4.21,4.21,0,"Tier3_1dataset"
"TBXAS1",1,"GSE244576",4.104,4.104,0.002598,"Tier3_1dataset"
"DBT",1,"GSE244576",4.096,4.096,0.012719,"Tier3_1dataset"
"CTLA2A",1,"GSE244576",4.068,4.068,0,"Tier3_1dataset"
"SBNO2",1,"GSE244576",4.064,4.064,0,"Tier3_1dataset"
"ADAMTS6",1,"GSE244576",4.048,4.048,0,"Tier3_1dataset"
"CCL2",1,"GSE244576",4.045,4.045,1e-06,"Tier3_1dataset"
"TUBB6",1,"GSE244576",4.028,4.028,0.00016,"Tier3_1dataset"
"NECTIN2",1,"GSE244576",4.022,4.022,0.045752,"Tier3_1dataset"
"FGF2",1,"GSE244576",4.001,4.001,0,"Tier3_1dataset"
"ADAMTS4",1,"GSE244576",3.992,3.992,0,"Tier3_1dataset"
"PYCARD",1,"GSE244576",3.959,3.959,0,"Tier3_1dataset"
"FAM111A",1,"GSE244576",3.954,3.954,0.001287,"Tier3_1dataset"
"MTA1",1,"GSE244576",3.937,3.937,7e-06,"Tier3_1dataset"
"S100A6",1,"GSE244576",3.915,3.915,0,"Tier3_1dataset"
"TRPC6",1,"GSE244576",3.89,3.89,0,"Tier3_1dataset"
"LOXL1",1,"GSE244576",3.888,3.888,0.001076,"Tier3_1dataset"
"TIMELESS",1,"GSE244576",3.843,3.843,0.001251,"Tier3_1dataset"
"IL17RA",1,"GSE244576",3.84,3.84,0,"Tier3_1dataset"
"IGFBP3",1,"GSE244576",3.831,3.831,0,"Tier3_1dataset"
"MTBP",1,"GSE244576",3.76,3.76,0.003838,"Tier3_1dataset"
"CTSS",1,"GSE244576",3.712,3.712,0.005185,"Tier3_1dataset"
"GFAP",1,"GSE244576",3.7,3.7,0,"Tier3_1dataset"
"FBLN2",1,"GSE244576",3.637,3.637,0,"Tier3_1dataset"
"PXDC1",1,"GSE244576",3.62,3.62,2e-06,"Tier3_1dataset"
"LMNB1",1,"GSE244576",3.615,3.615,0.004182,"Tier3_1dataset"
"SLC41A2",1,"GSE244576",3.579,3.579,9e-06,"Tier3_1dataset"
"EDNRB",1,"GSE244576",3.549,3.549,0,"Tier3_1dataset"
"CASP8",1,"GSE244576",3.543,3.543,0,"Tier3_1dataset"
"NDOR1",1,"GSE244576",3.509,3.509,3.4e-05,"Tier3_1dataset"
"MAP2K3",1,"GSE244576",3.502,3.502,0,"Tier3_1dataset"
"ZFP52",1,"GSE244576",3.472,3.472,0,"Tier3_1dataset"
"TAF8",1,"GSE244576",3.468,3.468,0.033545,"Tier3_1dataset"
"GM22146",1,"GSE244576",3.454,3.454,0.000585,"Tier3_1dataset"
"FKBP5",1,"GSE244576",3.451,3.451,0,"Tier3_1dataset"
"ADAMTS9",1,"GSE244576",3.441,3.441,0,"Tier3_1dataset"
"MT2",1,"GSE244576",3.429,3.429,0,"Tier3_1dataset"
"ADAMTS2",1,"GSE244576",3.424,3.424,0.003522,"Tier3_1dataset"
"CCN2",1,"GSE244576",3.405,3.405,3.4e-05,"Tier3_1dataset"
"GM48293",1,"GSE244576",3.314,3.314,4.9e-05,"Tier3_1dataset"
"TSPAN4",1,"GSE244576",3.309,3.309,0,"Tier3_1dataset"
"NMNAT3",1,"GSE244576",3.302,3.302,1.9e-05,"Tier3_1dataset"
"ZYX",1,"GSE244576",3.291,3.291,2e-06,"Tier3_1dataset"
"SPRED3",1,"GSE244576",3.286,3.286,1e-06,"Tier3_1dataset"
"TGIF1",1,"GSE244576",3.27,3.27,4.6e-05,"Tier3_1dataset"
"HELLS",1,"GSE244576",3.264,3.264,0.048856,"Tier3_1dataset"
"1700109H08RIK",1,"GSE244576",3.229,3.229,0.000207,"Tier3_1dataset"
"SPSB1",1,"GSE244576",3.175,3.175,0,"Tier3_1dataset"
"VWF",1,"GSE244576",3.17,3.17,4.6e-05,"Tier3_1dataset"
"CDH6",1,"GSE244576",3.159,3.159,0,"Tier3_1dataset"
"C1QC",1,"GSE244576",3.129,3.129,0.000113,"Tier3_1dataset"
"CFAP69",1,"GSE244576",3.122,3.122,0,"Tier3_1dataset"
"MAP3K6",1,"GSE244576",3.11,3.11,0,"Tier3_1dataset"
"SLC6A20B",1,"GSE244576",3.105,3.105,0,"Tier3_1dataset"
"CDC14B",1,"GSE244576",3.084,3.084,0,"Tier3_1dataset"
"ADAMTS1",1,"GSE244576",3.078,3.078,0,"Tier3_1dataset"
"IRAK3",1,"GSE244576",3.072,3.072,0,"Tier3_1dataset"
"0610040J01RIK",1,"GSE244576",3.062,3.062,0.000136,"Tier3_1dataset"
"MCAM",1,"GSE244576",3.061,3.061,0,"Tier3_1dataset"
"SEPT9",1,"GSE244576",3.051,3.051,0,"Tier3_1dataset"
"COL18A1",1,"GSE244576",3.045,3.045,0,"Tier3_1dataset"
"IL1R1",1,"GSE244576",3.043,3.043,0,"Tier3_1dataset"
"TTC38",1,"GSE244576",3.033,3.033,6.2e-05,"Tier3_1dataset"
"IL4RA",1,"GSE244576",3.021,3.021,9e-06,"Tier3_1dataset"
"PLIN2",1,"GSE244576",3.01,3.01,0,"Tier3_1dataset"
"POR",1,"GSE244576",3.004,3.004,0,"Tier3_1dataset"
"AI506816",1,"GSE244576",2.996,2.996,0.011397,"Tier3_1dataset"
"ODC1",1,"GSE244576",2.966,2.966,0,"Tier3_1dataset"
"MYOF",1,"GSE244576",2.959,2.959,0,"Tier3_1dataset"
"CNDP2",1,"GSE244576",2.949,2.949,0.000107,"Tier3_1dataset"
"NOX4",1,"GSE244576",2.947,2.947,0.000487,"Tier3_1dataset"
"CYP1B1",1,"GSE244576",2.889,2.889,4.1e-05,"Tier3_1dataset"
"TRIB1",1,"GSE244576",2.887,2.887,0.004218,"Tier3_1dataset"
"IFI204",1,"GSE244576",2.868,2.868,1.4e-05,"Tier3_1dataset"
"E2F3",1,"GSE244576",2.86,2.86,0,"Tier3_1dataset"
"MIR22HG",1,"GSE244576",2.851,2.851,0,"Tier3_1dataset"
"SEMA4C",1,"GSE244576",2.834,2.834,0,"Tier3_1dataset"
"RAD51B",1,"GSE244576",2.828,2.828,0.028539,"Tier3_1dataset"
"PTGES",1,"GSE244576",2.82,2.82,0.000615,"Tier3_1dataset"
"TRAF3",1,"GSE244576",2.804,2.804,0,"Tier3_1dataset"
"LAMB1",1,"GSE244576",2.801,2.801,0,"Tier3_1dataset"
"RASA3",1,"GSE244576",2.801,2.801,0,"Tier3_1dataset"
"PER2",1,"GSE244576",2.782,2.782,0,"Tier3_1dataset"
"H6PD",1,"GSE244576",2.77,2.77,0,"Tier3_1dataset"
"AEBP1",1,"GSE244576",2.766,2.766,0,"Tier3_1dataset"
"MORRBID",1,"GSE244576",2.764,2.764,0,"Tier3_1dataset"
"NLRC3",1,"GSE244576",2.763,2.763,0.009016,"Tier3_1dataset"
"SLC35F5",1,"GSE244576",2.753,2.753,3.7e-05,"Tier3_1dataset"
"UST",1,"GSE244576",2.747,2.747,0,"Tier3_1dataset"
"ANGPT2",1,"GSE244576",2.737,2.737,3.5e-05,"Tier3_1dataset"
"POLA2",1,"GSE244576",2.729,2.729,0.002447,"Tier3_1dataset"
"FGD1",1,"GSE244576",2.724,2.724,0.02475,"Tier3_1dataset"
"1600020E01RIK",1,"GSE244576",2.721,2.721,0,"Tier3_1dataset"
"FHL2",1,"GSE244576",2.712,2.712,0,"Tier3_1dataset"
"PRRX1",1,"GSE244576",2.702,2.702,0,"Tier3_1dataset"
"STC1",1,"GSE244576",2.693,2.693,0,"Tier3_1dataset"
"RDH10",1,"GSE244576",2.648,2.648,0,"Tier3_1dataset"
"TMEM252",1,"GSE244576",2.642,2.642,0,"Tier3_1dataset"
"NID2",1,"GSE244576",2.641,2.641,0.001191,"Tier3_1dataset"
"CSGALNACT1",1,"GSE244576",2.619,2.619,0,"Tier3_1dataset"
"MTHFR",1,"GSE244576",2.614,2.614,0.00613,"Tier3_1dataset"
"COL7A1",1,"GSE244576",2.611,2.611,0.009435,"Tier3_1dataset"
"IL1RL2",1,"GSE244576",2.61,2.61,1.4e-05,"Tier3_1dataset"
"PGM2",1,"GSE244576",2.608,2.608,0,"Tier3_1dataset"
"FAM102B",1,"GSE244576",2.599,2.599,0.001101,"Tier3_1dataset"
"PPARA",1,"GSE244576",2.596,2.596,0.003174,"Tier3_1dataset"
"MT1",1,"GSE244576",2.594,2.594,0,"Tier3_1dataset"
"CDK2",1,"GSE244576",2.586,2.586,0.034232,"Tier3_1dataset"
"RAD18",1,"GSE244576",2.584,2.584,0,"Tier3_1dataset"
"ATP8B1",1,"GSE244576",2.571,2.571,0,"Tier3_1dataset"
"SLC12A4",1,"GSE244576",2.561,2.561,2e-05,"Tier3_1dataset"
"BIRC3",1,"GSE244576",2.559,2.559,0,"Tier3_1dataset"
"GM43660",1,"GSE244576",2.548,2.548,0.032451,"Tier3_1dataset"
"HELB",1,"GSE244576",2.541,2.541,0.005635,"Tier3_1dataset"
"TLR4",1,"GSE244576",2.522,2.522,3e-06,"Tier3_1dataset"
"TSPAN14",1,"GSE244576",2.522,2.522,0,"Tier3_1dataset"
"GLIS3",1,"GSE244576",2.507,2.507,0,"Tier3_1dataset"
"TMEM19",1,"GSE244576",2.485,2.485,0.01986,"Tier3_1dataset"
"ELL",1,"GSE244576",2.484,2.484,0,"Tier3_1dataset"
"ADAM19",1,"GSE244576",2.474,2.474,0,"Tier3_1dataset"
"FKBP10",1,"GSE244576",2.473,2.473,0.00152,"Tier3_1dataset"
"RTTN",1,"GSE244576",2.461,2.461,1e-06,"Tier3_1dataset"
"TUBA1C",1,"GSE244576",2.447,2.447,0.010562,"Tier3_1dataset"
"VWA5A",1,"GSE244576",2.447,2.447,0.000461,"Tier3_1dataset"
"C1QA",1,"GSE244576",2.428,2.428,0.00091,"Tier3_1dataset"
"ITPKC",1,"GSE244576",2.428,2.428,0.00238,"Tier3_1dataset"
"CFH",1,"GSE244576",2.415,2.415,0,"Tier3_1dataset"
"NECTIN1",1,"GSE244576",2.406,2.406,0,"Tier3_1dataset"
"IFNGR2",1,"GSE244576",2.405,2.405,3.3e-05,"Tier3_1dataset"
"COQ8B",1,"GSE244576",2.4,2.4,4e-06,"Tier3_1dataset"
"POLR3C",1,"GSE244576",2.393,2.393,4.7e-05,"Tier3_1dataset"
"RHOJ",1,"GSE244576",2.387,2.387,0,"Tier3_1dataset"
"NLN",1,"GSE244576",2.379,2.379,0.001524,"Tier3_1dataset"
"GAB2",1,"GSE244576",2.365,2.365,0,"Tier3_1dataset"
"ZGRF1",1,"GSE244576",2.355,2.355,0.001526,"Tier3_1dataset"
"ZFP217",1,"GSE244576",2.322,2.322,0.007474,"Tier3_1dataset"
"FAM129B",1,"GSE244576",2.315,2.315,0,"Tier3_1dataset"
"TRAM2",1,"GSE244576",2.309,2.309,0,"Tier3_1dataset"
"PRKCD",1,"GSE244576",2.3,2.3,0.009113,"Tier3_1dataset"
"SRGAP1",1,"GSE244576",2.294,2.294,0,"Tier3_1dataset"
"PRIM2",1,"GSE244576",2.288,2.288,4.5e-05,"Tier3_1dataset"
"DBN1",1,"GSE244576",2.283,2.283,0,"Tier3_1dataset"
"LARP1B",1,"GSE244576",2.278,2.278,0.000106,"Tier3_1dataset"
"FOSL2",1,"GSE244576",2.271,2.271,0,"Tier3_1dataset"
"DDX19B",1,"GSE244576",2.261,2.261,0.006225,"Tier3_1dataset"
"CDR2L",1,"GSE244576",2.253,2.253,8e-06,"Tier3_1dataset"
"MAPK12",1,"GSE244576",2.247,2.247,0.003927,"Tier3_1dataset"
"TNFRSF1A",1,"GSE244576",2.246,2.246,9e-06,"Tier3_1dataset"
"CLMP",1,"GSE244576",2.245,2.245,0,"Tier3_1dataset"
"TGFB1",1,"GSE244576",2.239,2.239,0,"Tier3_1dataset"
"MT-ATP8",1,"GSE244576",2.235,2.235,0.007556,"Tier3_1dataset"
"GM13684",1,"GSE244576",2.234,2.234,0,"Tier3_1dataset"
"POLA1",1,"GSE244576",2.23,2.23,0,"Tier3_1dataset"
"TLN2",1,"GSE244576",2.222,2.222,0,"Tier3_1dataset"
"RLIM",1,"GSE244576",2.218,2.218,0,"Tier3_1dataset"
"PAWR",1,"GSE244576",2.213,2.213,3e-06,"Tier3_1dataset"
"B4GALT1",1,"GSE244576",2.212,2.212,3e-06,"Tier3_1dataset"
"MTHFD1L",1,"GSE244576",2.205,2.205,0,"Tier3_1dataset"
"PLEKHA3",1,"GSE244576",2.199,2.199,5.5e-05,"Tier3_1dataset"
"COL23A1",1,"GSE244576",2.196,2.196,1e-06,"Tier3_1dataset"
"FBLIM1",1,"GSE244576",2.195,2.195,0,"Tier3_1dataset"
"9630014M24RIK",1,"GSE244576",2.188,2.188,0,"Tier3_1dataset"
"GM49708",1,"GSE244576",2.18,2.18,0,"Tier3_1dataset"
"RALB",1,"GSE244576",2.178,2.178,0,"Tier3_1dataset"
"CRY1",1,"GSE244576",2.177,2.177,6.8e-05,"Tier3_1dataset"
"ANXA2",1,"GSE244576",2.171,2.171,0,"Tier3_1dataset"
"LCP2",1,"GSE244576",2.163,2.163,0.006554,"Tier3_1dataset"
"BCL3",1,"GSE244576",2.161,2.161,0.017606,"Tier3_1dataset"
"RIPK1",1,"GSE244576",2.158,2.158,1.5e-05,"Tier3_1dataset"
"COL4A4",1,"GSE244576",2.151,2.151,0.000493,"Tier3_1dataset"
"TEAD4",1,"GSE244576",2.144,2.144,0,"Tier3_1dataset"
"COL8A1",1,"GSE244576",2.14,2.14,0.007032,"Tier3_1dataset"
"TCIRG1",1,"GSE244576",2.137,2.137,0.01469,"Tier3_1dataset"
"QSOX1",1,"GSE244576",2.136,2.136,5e-06,"Tier3_1dataset"
"MT-ND5",1,"GSE244576",2.132,2.132,0,"Tier3_1dataset"
"PGS1",1,"GSE244576",2.13,2.13,0,"Tier3_1dataset"
"ERN1",1,"GSE244576",2.127,2.127,0,"Tier3_1dataset"
"MAN1C1",1,"GSE244576",2.123,2.123,0,"Tier3_1dataset"
"ENTPD7",1,"GSE244576",2.122,2.122,0.04033,"Tier3_1dataset"
"SDC4",1,"GSE244576",2.111,2.111,7e-06,"Tier3_1dataset"
"MAPKAPK2",1,"GSE244576",2.104,2.104,0,"Tier3_1dataset"
"DCBLD2",1,"GSE244576",2.095,2.095,0,"Tier3_1dataset"
"ECSCR",1,"GSE244576",2.094,2.094,0.000756,"Tier3_1dataset"
"STIMATE",1,"GSE244576",2.093,2.093,0.000316,"Tier3_1dataset"
"SIPA1L2",1,"GSE244576",2.092,2.092,0,"Tier3_1dataset"
"RELB",1,"GSE244576",2.09,2.09,0,"Tier3_1dataset"
"CIAPIN1",1,"GSE244576",2.088,2.088,0.000802,"Tier3_1dataset"
"TBC1D2B",1,"GSE244576",2.086,2.086,0.00025,"Tier3_1dataset"
"UTP20",1,"GSE244576",2.086,2.086,0.002129,"Tier3_1dataset"
"TRP53INP1",1,"GSE227651",2.08,2.08,0.005953,"Tier3_1dataset"
"TBL1XR1",1,"GSE244576",2.078,2.078,0,"Tier3_1dataset"
"ACTN1",1,"GSE244576",2.073,2.073,0,"Tier3_1dataset"
"ANKRD16",1,"GSE244576",2.073,2.073,0.000101,"Tier3_1dataset"
"CD302",1,"GSE244576",2.062,2.062,1.7e-05,"Tier3_1dataset"
"GAS2",1,"GSE244576",2.061,2.061,0.000132,"Tier3_1dataset"
"HIF1A",1,"GSE244576",2.058,2.058,0,"Tier3_1dataset"
"NHSL1",1,"GSE244576",2.054,2.054,0,"Tier3_1dataset"
"FIG4",1,"GSE244576",2.049,2.049,0.016838,"Tier3_1dataset"
"TTC39B",1,"GSE244576",2.049,2.049,0,"Tier3_1dataset"
"PPP1R18",1,"GSE244576",2.048,2.048,0.000546,"Tier3_1dataset"
"UCP2",1,"GSE244576",2.048,2.048,4.3e-05,"Tier3_1dataset"
"PXDN",1,"GSE244576",2.037,2.037,2e-06,"Tier3_1dataset"
"FMNL2",1,"GSE244576",2.031,2.031,0,"Tier3_1dataset"
"SUCLG2",1,"GSE244576",2.017,2.017,0.0129,"Tier3_1dataset"
"GM14009",1,"GSE244576",2.004,2.004,0.00134,"Tier3_1dataset"
"A730049H05RIK",1,"GSE244576",1.995,1.995,4.2e-05,"Tier3_1dataset"
"OASL2",1,"GSE244576",1.994,1.994,1e-06,"Tier3_1dataset"
"LDLRAP1",1,"GSE244576",1.985,1.985,0.000252,"Tier3_1dataset"
"FSTL1",1,"GSE244576",1.977,1.977,0,"Tier3_1dataset"
"COG2",1,"GSE244576",1.976,1.976,0.010911,"Tier3_1dataset"
"EFL1",1,"GSE244576",1.973,1.973,3e-06,"Tier3_1dataset"
"GSR",1,"GSE244576",1.973,1.973,0,"Tier3_1dataset"
"ITGAV",1,"GSE244576",1.972,1.972,0,"Tier3_1dataset"
"ANTXR2",1,"GSE244576",1.971,1.971,0.000544,"Tier3_1dataset"
"ZFP36L2",1,"GSE244576",1.97,1.97,0.000159,"Tier3_1dataset"
"STAT3",1,"GSE244576",1.963,1.963,0,"Tier3_1dataset"
"SMYD2",1,"GSE244576",1.961,1.961,0.000462,"Tier3_1dataset"
"LDLR",1,"GSE244576",1.957,1.957,0,"Tier3_1dataset"
"PROS1",1,"GSE244576",1.953,1.953,0,"Tier3_1dataset"
"MICAL1",1,"GSE244576",1.95,1.95,1e-06,"Tier3_1dataset"
"ANGPTL4",1,"GSE244576",1.947,1.947,0.002089,"Tier3_1dataset"
"SMIM3",1,"GSE244576",1.944,1.944,0.000601,"Tier3_1dataset"
"APAF1",1,"GSE244576",1.941,1.941,0,"Tier3_1dataset"
"ZFP618",1,"GSE244576",1.934,1.934,0,"Tier3_1dataset"
"SEC24D",1,"GSE244576",1.931,1.931,0,"Tier3_1dataset"
"DDR2",1,"GSE244576",1.93,1.93,0,"Tier3_1dataset"
"AMPD3",1,"GSE244576",1.927,1.927,0,"Tier3_1dataset"
"MVP",1,"GSE244576",1.912,1.912,2e-06,"Tier3_1dataset"
"MAMLD1",1,"GSE244576",1.91,1.91,1e-06,"Tier3_1dataset"
"PTK7",1,"GSE244576",1.909,1.909,0,"Tier3_1dataset"
"SEC16A",1,"GSE244576",1.908,1.908,1e-06,"Tier3_1dataset"
"LOXL3",1,"GSE244576",1.906,1.906,6.6e-05,"Tier3_1dataset"
"CTSB",1,"GSE244576",1.895,1.895,0,"Tier3_1dataset"
"VPS50",1,"GSE244576",1.891,1.891,2e-06,"Tier3_1dataset"
"CBLB",1,"GSE244576",1.89,1.89,0,"Tier3_1dataset"
"5730455P16RIK",1,"GSE244576",1.889,1.889,0.000166,"Tier3_1dataset"
"EHBP1L1",1,"GSE244576",1.879,1.879,0.000949,"Tier3_1dataset"
"COL5A2",1,"GSE244576",1.87,1.87,0,"Tier3_1dataset"
"MMP14",1,"GSE244576",1.869,1.869,0.000114,"Tier3_1dataset"
"MYO9B",1,"GSE244576",1.868,1.868,0,"Tier3_1dataset"
"UHRF1BP1L",1,"GSE244576",1.867,1.867,0,"Tier3_1dataset"
"UAP1",1,"GSE244576",1.866,1.866,0.001951,"Tier3_1dataset"
"ZFP408",1,"GSE244576",1.863,1.863,0.019476,"Tier3_1dataset"
"MSN",1,"GSE244576",1.856,1.856,0,"Tier3_1dataset"
"CD248",1,"GSE244576",1.847,1.847,0.000942,"Tier3_1dataset"
"CTSD",1,"GSE244576",1.847,1.847,0,"Tier3_1dataset"
"VAC14",1,"GSE244576",1.846,1.846,0,"Tier3_1dataset"
